aluguel,zona,area,quarto
2000.0,sul,51.0,2.0
2700.0,sul,72.0,3.0
3200.0,sul,59.0,1.0
1300.0,sul,70.0,2.0
1800.0,sul,90.0,2.0
1300.0,sul,45.0,1.0
2800.0,sul,35.0,1.0
773.0,sul,40.0,1.0
1600.0,sul,70.0,1.0
9000.0,sul,75.0,1.0
2203.0,sul,38.0,1.0
900.0,sul,35.0,1.0
660.0,sul,23.0,1.0
1870.0,sul,45.0,1.0
1632.0,sul,52.0,2.0
3488.0,sul,50.0,2.0
890.0,sul,65.0,1.0
4100.0,sul,96.0,2.0
1400.0,sul,55.0,3.0
1650.0,sul,35.0,1.0
3000.0,sul,200.0,3.0
1500.0,sul,51.0,2.0
850.0,sul,80.0,1.0
2900.0,sul,55.0,2.0
1000.0,sul,52.0,1.0
1500.0,sul,80.0,2.0
2200.0,sul,37.0,1.0
3500.0,sul,102.0,3.0
1050.0,sul,35.0,1.0
2300.0,sul,70.0,2.0
1400.0,sul,37.0,1.0
1950.0,sul,71.0,2.0
2900.0,sul,40.0,1.0
1100.0,sul,62.0,2.0
3500.0,sul,97.0,2.0
1900.0,sul,59.0,3.0
1400.0,sul,66.0,2.0
6000.0,sul,188.0,3.0
2500.0,sul,50.0,2.0
2300.0,sul,35.0,1.0
3000.0,sul,140.0,4.0
1990.0,sul,200.0,3.0
2900.0,sul,22.0,1.0
2400.0,sul,60.0,1.0
1540.0,sul,36.0,1.0
1900.0,sul,80.0,3.0
1800.0,sul,53.0,2.0
1200.0,sul,50.0,2.0
1400.0,sul,80.0,2.0
1600.0,sul,50.0,2.0
2900.0,sul,60.0,2.0
1460.0,sul,60.0,2.0
1284.0,sul,55.0,2.0
1500.0,sul,49.0,2.0
3250.0,sul,54.0,2.0
1700.0,sul,65.0,2.0
3000.0,sul,63.0,2.0
1907.0,sul,70.0,3.0
4200.0,sul,75.0,2.0
3700.0,sul,59.0,1.0
5000.0,sul,65.0,2.0
1600.0,sul,48.0,2.0
2100.0,sul,71.0,3.0
1750.0,sul,58.0,2.0
1150.0,sul,13.0,1.0
1100.0,sul,51.0,2.0
3900.0,sul,60.0,2.0
1681.0,sul,92.0,2.0
2200.0,sul,60.0,1.0
1200.0,sul,65.0,2.0
2229.0,sul,47.0,2.0
1230.0,sul,30.0,1.0
3000.0,sul,92.0,2.0
2008.0,sul,117.0,3.0
1300.0,sul,52.0,2.0
1506.0,sul,49.0,2.0
5500.0,sul,97.0,3.0
1471.0,sul,47.0,2.0
6339.0,sul,125.0,3.0
1250.0,sul,47.0,1.0
2000.0,sul,70.0,2.0
1750.0,sul,128.0,2.0
1300.0,sul,45.0,2.0
2000.0,sul,53.0,2.0
1450.0,sul,67.0,2.0
2500.0,sul,58.0,2.0
1500.0,sul,58.0,2.0
2500.0,sul,57.0,2.0
3500.0,sul,50.0,1.0
2700.0,sul,36.0,1.0
2625.0,sul,54.0,2.0
3500.0,sul,110.0,3.0
3250.0,sul,72.0,1.0
1250.0,sul,22.0,1.0
2500.0,sul,100.0,3.0
2850.0,sul,41.0,1.0
2500.0,sul,100.0,3.0
2850.0,sul,41.0,1.0
4050.0,sul,92.0,3.0
